iter,random_start,ad_start,actual_ad,in_db,detected_ad,input_confidence,result
first_10_slice,26814,26814,subway-enc,False,subway-enc,0.04,True
second_10_slice,26814,36814,subway-enc,False,subway-enc,0.02,True
third_10_slice,26814,46814,Play it different  ft. Ravi Shastri  CRED-enc,False,walmart-enc,0.02,False
first_20_slice,26814,26814,subway-enc,False,subway-enc,0.04,True
second_20_slice,26814,36814,subway-enc,False,subway-enc,0.02,True
thirty_second,26814,26814,subway-enc,False,subway-enc,0.03,True
first_10_slice,875837,875837,Myntra x Kiara Advani (Flight)-enc,False,Be Extraordinary Everyday With Myntra-enc,0.03,False
second_10_slice,875837,885837,Myntra x Kiara Advani (Flight)-enc,False,Play it different  ft. Ravi Shastri  CRED-enc,0.0,False
third_10_slice,875837,895837,Myntra x Kiara Advani (Flight)-enc,False,Play it different  ft. Ravi Shastri  CRED-enc,0.0,False
first_20_slice,875837,875837,Myntra x Kiara Advani (Flight)-enc,False,Be Extraordinary Everyday With Myntra-enc,0.02,False
second_20_slice,875837,885837,Myntra x Kiara Advani (Flight)-enc,False,Play it different  ft. Ravi Shastri  CRED-enc,0.0,False
thirty_second,875837,875837,Myntra x Kiara Advani (Flight)-enc,False,Be Extraordinary Everyday With Myntra-enc,0.02,False
first_10_slice,423212,423212,Glasses That Are Perfect For a Corporate Look  Glasses Badlo Vibe Badlo ft. Kiara & Karan-enc,False,Glasses That Are Perfect For a Corporate Look  Glasses Badlo Vibe Badlo ft. Kiara & Karan-enc,0.03,True
second_10_slice,423212,433212,Glasses That Are Perfect For a Corporate Look  Glasses Badlo Vibe Badlo ft. Kiara & Karan-enc,False,Glasses That Are Perfect For a Corporate Look  Glasses Badlo Vibe Badlo ft. Kiara & Karan-enc,0.03,True
third_10_slice,423212,443212,Manyavar-enc,False,Manyavar-enc,0.02,True
